SegmentName;ProductName;Brand
BANCAS, QUIOSQUES E PAPELARIAS;CARTÃO DE MEMORIA MICRO SD 16GB c/ ADAPTADOR SANDISK;SanDisk International
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL MARCADOR CD/DVD VERMELHO 2 0 PILOT;
BANCAS, QUIOSQUES E PAPELARIAS;LAPISEIRA CIS NEON GRIP EMBORRACHADO 0.7MM;
BANCAS, QUIOSQUES E PAPELARIAS;REFIL P/ MARCADOR DE QUADRO BRANCO PILOT WBS-VBM - Azul;
BANCAS, QUIOSQUES E PAPELARIAS;KIMELEKA SLIME GLITTER ACRILEX;ACRILEX
BANCAS, QUIOSQUES E PAPELARIAS;KIMELEKA SLIME ACRILEX;ACRILEX
BANCAS, QUIOSQUES E PAPELARIAS;MASSINHA ACRILEX SOFT 12 CORES;ACRILEX
BANCAS, QUIOSQUES E PAPELARIAS;CADERNETA DE ANOTAÇÕES ORGANIZER MEMOBOOK C/ 75 Fls;Tilibra
BANCAS, QUIOSQUES E PAPELARIAS;PASTA C/ ELÁSTICO OFÍCIO LINE CRISTAL - DELLO;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR CRISTAL 30 PLÁSTICO;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR LARANJA 30CM;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR AMARELO NEON 30CM;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR AZUL 30CM;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR PINK 30CM;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR ROXO 30CM;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR PRETO 30CM;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;RÉGUA DELLO COLOR ROSA CLARO 30CM;DELLO
BANCAS, QUIOSQUES E PAPELARIAS;TINTA GUACHE ACRILEX 6 CORES;ACRILEX
BANCAS, QUIOSQUES E PAPELARIAS;FICHAS CONTAS CORRENTES Nº 2A;Tilibra
BANCAS, QUIOSQUES E PAPELARIAS;BLOCO RECIBO COMERCIAL C/CANHOTO 50F SÃO DOMINGOS;SÃO DOMINGOS S.A.
BANCAS, QUIOSQUES E PAPELARIAS;BLOCO RECIBO COMERCIAL S/CANHOTO C/50 FLS SÃO DOMINGOS;SÃO DOMINGOS S.A.
BANCAS, QUIOSQUES E PAPELARIAS;COLA P/ ISOPOR e E.V.A ACRILEX;ACRILEX
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL SULFITE A4 OFFICE PRINT PAPIRO 500 FOLHAS;PRINT PAPIRO
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL SULFITE PRINT PAPIRO CAIXA 5000 FOLHAS;PRINT PAPIRO
BANCAS, QUIOSQUES E PAPELARIAS;CADERNO PANAMERICANA 1 MATÉRIA 96 FOLHAS;PanAmericana
BANCAS, QUIOSQUES E PAPELARIAS;CADERNO UNIVERSITÁRIO PETITE GIRL 96 FLS PANAMERICANA C.D.;PanAmericana
