SegmentName;ProductName;Brand
CASA, CONSTRUÇÃO E JARDINAGEM;"DISCO SERRA MILKITS 4.3/8"" 72 DTS M-17 MILKITS";
CASA, CONSTRUÇÃO E JARDINAGEM;TORNEIRA TIGRE COZ PAREDE HORIZ ORBE BC 1/2-3/4;
CASA, CONSTRUÇÃO E JARDINAGEM;ENXADA TRAMOTINA C/CABO ESTREITA 2,5;
CASA, CONSTRUÇÃO E JARDINAGEM;PORCA TRAVANTE C/NYLON 3/16 (PORCA DE PRESSAO);
CASA, CONSTRUÇÃO E JARDINAGEM;ESPACADOR CORTAG PISO  2MM;
CASA, CONSTRUÇÃO E JARDINAGEM;LIMPA PORCELANATO 1,0L ETANIZ;
CASA, CONSTRUÇÃO E JARDINAGEM;DISCO STARRET DIAM  CONT/LISO 110MM C/03P;
CASA, CONSTRUÇÃO E JARDINAGEM;PARAFUSO INOX PHILIPS CHATA 4,2X32;
CASA, CONSTRUÇÃO E JARDINAGEM;GARRA JACARE GRANDE 15,5CM PT CART;
CASA, CONSTRUÇÃO E JARDINAGEM;ARMARIO SAFIRA BRANCO ARTPLAS;
CASA, CONSTRUÇÃO E JARDINAGEM;DUCHA LORENZETTI BELLA DUCHA TURBO 4T 6800W 220V;
CASA, CONSTRUÇÃO E JARDINAGEM;CONDUITE ADTEX AMARELO 50M;
CASA, CONSTRUÇÃO E JARDINAGEM;COLA EPOXI WURT TITANIO 25G;
CASA, CONSTRUÇÃO E JARDINAGEM;REJUNTE QUARTZOLIT PORCELA BRANCO 5KG;
CASA, CONSTRUÇÃO E JARDINAGEM;SISTEMA X BRANCA MEC TRONIC(2TOM 10A) 39146;
CASA, CONSTRUÇÃO E JARDINAGEM;ALICATE UNIVERSAL 8 POLEGADAS;
CASA, CONSTRUÇÃO E JARDINAGEM;ENXADAO TRAMONTINA C/CABO LARGO 2,5;
CASA, CONSTRUÇÃO E JARDINAGEM;LINHA NYLON PESCA EKILON 0.40MM X 100M;
CASA, CONSTRUÇÃO E JARDINAGEM;NIVEL BRASFORT ALUMINIO  14 X 35 8272;
CASA, CONSTRUÇÃO E JARDINAGEM;MANGUEIRA TANQUINHO SAIDA TUBO FLEX CZ. 1,10M;
CASA, CONSTRUÇÃO E JARDINAGEM;CAIXA CORREIO CHAPA ALUM N 8 BRANCA;
CASA, CONSTRUÇÃO E JARDINAGEM;EXTENSAO FC NEW PP 2X0,75 PRETA 1,50M;
CASA, CONSTRUÇÃO E JARDINAGEM;ROLDANA C/SUP.ALUM.NYLON  V  75MM;
CASA, CONSTRUÇÃO E JARDINAGEM;MASSA CORRIDA AQUACORES 5KG;
CASA, CONSTRUÇÃO E JARDINAGEM;ARCO SERRA FIXO POP THOMPSON;
CASA, CONSTRUÇÃO E JARDINAGEM;CHAVE CANHAO TRAMONTINA 06MMX6;
CASA, CONSTRUÇÃO E JARDINAGEM;TINTA HYDRONOR ACRILICA ECON 18L  VD LIMAO*;
CASA, CONSTRUÇÃO E JARDINAGEM;DOBRADICA SILVANA.ZINC.850X2;
CASA, CONSTRUÇÃO E JARDINAGEM;DISCO INOX MELFI  110X1.0X20MM;
CASA, CONSTRUÇÃO E JARDINAGEM;CONECTOR EMENDA WAGO 3P - 6MM;
CASA, CONSTRUÇÃO E JARDINAGEM;REJUNTE QUARTZOLIT  1KG C.OTONO;
CASA, CONSTRUÇÃO E JARDINAGEM;PROLONGADOR REGISTRO DE PRESSAO V.RICA ABS 4CM;
CASA, CONSTRUÇÃO E JARDINAGEM;SPRAY COLORART METALICOS C.ART 61536-OURO VELHO;
CASA, CONSTRUÇÃO E JARDINAGEM;AUMENTO GARDEN P/TORN 1/2 A CURTO AMARELO;
CASA, CONSTRUÇÃO E JARDINAGEM;XADREZ PIGM.PO AMARELO 250G;
CASA, CONSTRUÇÃO E JARDINAGEM;CADEIRA PRAIA MOR RECLINAVEL 4 POS ALUM (6);
CASA, CONSTRUÇÃO E JARDINAGEM;MASSA F12 VIAPOL 400G IMBUIA;
CASA, CONSTRUÇÃO E JARDINAGEM;VARAL ALG FERRO BRANCO P/ MURO-RETRATIL C/4 FUROS;
CASA, CONSTRUÇÃO E JARDINAGEM;REJUNTE J.LIDER 1KG BEGE;
CASA, CONSTRUÇÃO E JARDINAGEM;PARAFUSO WURTH MAD RT PH CH BC 3,0 X 22 MM;
CASA, CONSTRUÇÃO E JARDINAGEM;CILINDRO GOLD 543 FECH STAM 801;
CASA, CONSTRUÇÃO E JARDINAGEM;CHUVEIRO ARTICULADO CROMADO METAL MAX;
CASA, CONSTRUÇÃO E JARDINAGEM;ESCADA ELITE MADEIRA PINTOR 09D-260;
CASA, CONSTRUÇÃO E JARDINAGEM;BOTA BRANCA PEGAFORTE C/MEDIO C/FORRO N.39;
CASA, CONSTRUÇÃO E JARDINAGEM;GRAMPO MARCENEIRO(SARGENTO) N4 EDA;
CASA, CONSTRUÇÃO E JARDINAGEM;CABO MARRETA MADEIRITE 35CM;
CASA, CONSTRUÇÃO E JARDINAGEM;"IRRIGACAO TE INTERNO TRIPLO PLASBOHN  90 3/4""";
CASA, CONSTRUÇÃO E JARDINAGEM;MERGULHAO(R QUENTE) CHERUBINO24CM 1000WX220V;
CASA, CONSTRUÇÃO E JARDINAGEM;ESPIGAO AR 3/8 CROMADO;
CASA, CONSTRUÇÃO E JARDINAGEM;VALVULA VENEZA PIA AMERICANA 1623 ESPECIAL;
CASA, CONSTRUÇÃO E JARDINAGEM;BARRA ROSCADA 3/8X1M (D) NC16;
CASA, CONSTRUÇÃO E JARDINAGEM;REGISTRO PRESSAO BOGNAR LIGHT C23 1416 3/4;
CASA, CONSTRUÇÃO E JARDINAGEM;GAS ISQ-MACARICO 170G300ML GA002 FERIMTE;
CASA, CONSTRUÇÃO E JARDINAGEM;CAIXA SIFONADA KRONA 100X50 S/GRELHA N28;
CASA, CONSTRUÇÃO E JARDINAGEM;SPRAY LUKS PREM. LUMINOSA VERMELHO;
CASA, CONSTRUÇÃO E JARDINAGEM;PLACA TRAMONTINA LIZ 4X4 BR (6 MOD) 57105/031;
CASA, CONSTRUÇÃO E JARDINAGEM;OCULOS PROTECAO KALIPSO PANDA INCOLOR;
CASA, CONSTRUÇÃO E JARDINAGEM;FORMAO EXELENT  B 1/2 3LC;
CASA, CONSTRUÇÃO E JARDINAGEM;LAMPADA POWER LED BULBO A60 15W 6500K E27 XL;
CASA, CONSTRUÇÃO E JARDINAGEM;BUCHA PLASTICO WURTH W-S PLASTICO S/ ANEL 5,0;
CASA, CONSTRUÇÃO E JARDINAGEM;CORDA SISAL 10MM- C/20MTS;
