SegmentName;ProductName;Brand
COMÉRCIO VAREJISTA OU ESPECIALIZADO;OUTROS;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA AZUL T-875;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA ROXO T-1062E;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA AZUL T-150;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA  AZUL T-100;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA ROXO T-100;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA ROXO T-250;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA VERDE T-250;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE CERA ROXO T-200;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BLOCO DE CERA MACICO 9 X 15 ROXO FERRIS;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;1/2 BLOCO FATIADO DE CERA ROXO;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;LAMPARINA DE ALUMINIO;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TREBOULET RASPADOR PARA CERA;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;PROTOTIPAGEM POR PECA;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;MASSA DE MODELAR;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CILINDRO DE SILICONE AZUL CLARO;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CILINDRO DE SILICONE ROSA;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;DISCO DE SILICONE ROSA;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;SACA PINO GRANDE;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CADINHO DE CERAMICA TUPI N 3;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CADINHO DE CERAMICA TUPI N 5;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;SPRUE TRONCO DE ARVORE 7,5 x 180mm N 8;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CADINHO DAUFENBACH N 1;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CADINHO DAUFENBACH N 2;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CADINHO DAUFENBACH N 3;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CADINHO DAUFENBACH N 5;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;SILICONE EM MANTA VERDE 1KG;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;KIT FUNDICAO COM FORNO DE 4 TUBOS 220V ;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BOMBA DE VACUO 6CFM IMPORTADA;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;INJETORA DE CERA DIGITAL YASUI USADA;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BOMBA DE VACUO IMPORTADA;ANTILOPE
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CADINHO VPC 040 500GRS SCHULTHEISS;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;PIROMETRO 1200 GRAUS VPC 055;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;PIROMETRO 1200 GRAUS VPC 040 SCHULTHEISS;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;OLEO WD 40;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;GESSO;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;INJETORA DE CERA BI-INTUITIVE RIACEWAX;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;VULCANIZADORA RETANGULAR DIGITAL CHINETTI;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;INJETORA DE CERA MONO INTUITIVE RIACEWAX;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;FUNDIDORA VPC040 POWER SCHULTHEISS;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;STOPER PARA VPC040 SCHULTHEISS;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;LIGA PARA PRATA ANTI OXIDANTE S88 MASTER UNITED;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CABO DE BISTURI DE PLASTICO;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;LAMINA DE BISTURI RETA N11 SWANN MORTON;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BASTAO PARA FORNO DE CANECA GRAFITE;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;RILHEIRA 3 CANAIS GRANDE;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;LUVA DE KEVLAR GRANDE 27CM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BASE DE BORRACHA NEW SPRUE COM SCREW 3;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;ANEL VEDANTE 3 POLEGADAS;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BASE DE BORRACHA 5 PROVE;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE AÇO INOX  P/ FUND C/ FLANGE 3,5 X 200MM ALT;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE ACO INOX  P/ FUND C/ FLANGE 3 X 120MM ALT;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;TUBO DE ACO INOX  P/ FUND C/ FLANGE 5 X 220MM ALT;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;REVESTIMENTO HOBEM GOLD STAR XL 1 KG;
