SegmentName;ProductName;Brand
INFORMÁTICA, GAMES E ELETRÔNICOS;SUPORTE PARA MICROFONE M-6 ASK PRETO = 2;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ESPUMA PARA MICROFONE SM 58 COLORIDA = 5;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ADAPTADOR P2 MONO FEMEA X PLUG P10 MONO MACHO PLÁSTICO = 6;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;FONTE ATX 200W REAL 20-24 2 SATA COM CAIXA E CABO;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CABO REDE RJ45 20MT AZUL;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG RCA FEMEA METAL PTO E VM = 9;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CAPA PHX EM COURINO PARA PANDEIRO 10 = 10;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG P2 MONO MACHO NIQUEL COM RABICHO = 11;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG P2 MONO MACHO OURO COM RABICHO = 12;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CHICOTE PIONEER 2250/2280/4250/5250/6250/7250 = 13;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CHAVE PUSH BOTÃO 2 POLOS 3 TERMINAIS 2A-250V 5A-120V = 14;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CONECTOR BNC MACHO PARA CABO RG 59 COM MOLA = 15;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ARO 6X9 CLASSIC PREMIERE GOLD PLASTICO = 16;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ADAPTADOR LIGACÃO TELEFONE RJ11 5 FEMEAS X 1 MACHO  = 17;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG P4 PARA DC 1X3.8X9MM SEM RABICHO = 18;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG P4 PARA DC 1,4X3,8X9MM = 19;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CAPACITOR AR CONDICIONADO 2.5UF X 450VAC = 20;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG P4 PARA DC 2,5X5,5X9MM SEM RABICHO = 21;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG P4 PARA DC 2,5X5,5X14MM COM RABICHO = 22;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ARO 10 POL. FERRO EXPANDIDA TPE GOL PLASTICO = 23;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ARO 10 POL. PLASTICO TPPG COM USO DE GARRA = 24;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ARO 10 POL. FERRO BORRACHA QUADRADO COM GARRA = 25;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CABO DB 15HD M DB 15HD F 1,8M FILTRO MONITOR = 26;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;ARO FERRO 12 POLEGADAS = 27;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CACHIMBO PARA MICROFONE ROSCA METALICA GRANDE = 28;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;TRIMPOT 3296W 25 VOLTAS 200K = 29;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;TRIMPOT 3386F 1 VOLTA 100K = 30;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;MICROVENTILADOR 120X120X38MM-110/220 SEM ROLAMENTO CHIP SCE = 31;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;MICROVENTILADOR 120X120X25MM - 12V CHIP SCE = 32;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PILHA RAYOVAC RECARREGÁVEL AA 1350MAH CARTELA C/ 2UN = 33 - OK;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PILHA REC AAA RONTEK C/ 2UN =ID 34;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;LED SMD 3535 - BRANCO FRIO P/ BARRAMENTO LED 6V - 1.0W = 35;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;FUSIVEL VIDRO 30MM 3A = 36;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;EXPANSOR LC-1450 ALTO BRLHO PRATA = 37;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;REPARO ST TW 100 / SK 3022 = 38;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CORDA NYLON HARMONIA VIOLÃO SEGUNDA (SI);IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;PLUG CANNON FEMEA 3 POLOS TIPO NEUTRIX = 40;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CABO EVUS 2RCA X 2RCA MACHO 1MT C-023 = 42;IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;CORDA NYLON HARMONIA VIOLÃO TERCEIRA (SOL);IMPOT
INFORMÁTICA, GAMES E ELETRÔNICOS;RECEPTOR ANALÓGICO ELSYS PETIT ETRS39 = 44;IMPOT
