SegmentName;ProductName;Brand
MERCADOS, EMPÓRIOS E PADARIAS;TAPIOCA CROCANTE 180g;Tia Sônia
MERCADOS, EMPÓRIOS E PADARIAS;LARANJA ORGANICA;Caore
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE RUIBARBO - RHEUM PALMATUM - SC 30g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;ACUCAR DEMERARA ORGANICO GRANEL;Vida em Grãos
MERCADOS, EMPÓRIOS E PADARIAS;TEMPERO ANA MARIA GRANEL;Prima Fruta
MERCADOS, EMPÓRIOS E PADARIAS;MEL DE COLONIA 765g;Armazém da Longevidade
MERCADOS, EMPÓRIOS E PADARIAS;AMENDOAS DEFUMADAS GRANEL;RMoura
MERCADOS, EMPÓRIOS E PADARIAS;UVA PASSA BRANCA GRANEL;RMoura
MERCADOS, EMPÓRIOS E PADARIAS;EVOLUTION COFFEE 10g;Essential
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE ABACATEIRO - PERSEA GRATISSIMA G. - SC 30g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE BOLDO C/5 4g;TchaFino
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE AMORA MIURA - MORUS NIGRA - SC 50g;Chá com chá
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE ARRUDA - RUTA GRAVEOLENS L. - SC 30g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE BARBATIMAO - STRYPHNODENDRON BARBATIMAN M - SC 50g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE BARDANA - ARCTIUM LAPPA L. - SC 30g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE BOLDO C/10 10g;TchaFino
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE CAMOMILA FLOR - MATRICARIA RECUTITA L. - SC 30G;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE CANELA DE VELHO - MICONIA ALBICANS - SC 30g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;GELATINA ZEROA ACUCAR ABACAXI COM CHIA 12g;Natural Life
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE CARDO MARIANO - SILYBUM MARIANUM - SC 50g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE ERVA DOCE C/5 4g;TchaFino
MERCADOS, EMPÓRIOS E PADARIAS;GELATINA ZERO ACUCAR CHA VERDE E LIMAO 12g;Natural Life
MERCADOS, EMPÓRIOS E PADARIAS;CHA BRANCO - CAMELLIA SINENSIS - SC 30g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE MACA E CANELA - SC 100g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE FLORES E FRUTAS - SC 100g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA VERDE - CAMELLIA SINENSIS - SC 30G;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE CHAPEU DE COURO - ECHINODORUS GRANDIFLORUS MICHELI 20g;Chá e Cia
MERCADOS, EMPÓRIOS E PADARIAS;GELATINA ZERO ACUCAR MORANGO COM LINHACA 12g;Natural Life
MERCADOS, EMPÓRIOS E PADARIAS;CHA DE EQUINACEA - ECHINACEA PURPUREA - SC 30G;Chá e Cia
