SegmentName;ProductName;Brand
ROUPAS, CALÇADOS E ACESSÓRIOS;921081 SAPATILHA AFETO NEW VII PRETO;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070010 SAPATILHA RAINBOW MINI COURO ESTAMPADO BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1070027 SAPATILHA RAINBOW MINI COURO BRANCO SWEET VERDE BABY 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1072016 SAPATILHA ANJOS MINI COURO METALIZADO PRATA 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1072050 SAPATILHA ANJOS MINI COURO VERNIZ VERNIZ PRETO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1072055 SAPATILHA ANJOS MINI COURO VERNIZ VERNIZ BRANCO 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1072058 SAPATILHA ANJOS MINI COURO VERNIZ VERNIZ NAVAL 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1073013 SANDALIA PARTY SINTETICO METALIZADO PRATA 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1073027 SANDALIA PARTY SINTETICO GLITER BRANCO 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1059020 SANDALIA FLAT FORM SINTETICO VERNIZ NAVAL 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1059029 SANDALIA FLAT FORM SINTETICO METALIZADO ESPELHADO PRATA 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1068009 SANDALIA FRESH SINTETICO CONHAQUE 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1068014 SANDALIA FRESH SINTETICO VERNIZ CHAMPAGNE 28 35;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1069019 SAPATILHA RENASCENCE KIDS COURO NAVAL 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1069030 SAPATILHA RENASCENCE KIDS COURO BRANCO 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1069039 SAPATILHA RENASCENCE KIDS COURO VERNIZ VERNIZ BRANCO 30 37;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;817344 TENIS ICON TECIDO CINZA PINK NEW 28 35;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;817346 TENIS ICON TECIDO GRAFITE MARINHO 28 35;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;1053043 TENIS EVOLUTION TECIDO GRAFITE PINK NEW 28 35;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;1053044 TENIS EVOLUTION TECIDO MARINHO GRAFITE 28 35;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;1060018 SANDALIA BASIC SANDALS III COURO NAVAL 28 35;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;1060023 SANDALIA BASIC SANDALS III COURO NAVAL 28 35;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;1067018 SANDALIA BABY BIRK VI COURO SWEET 20 27;CALCADOS BIBI LTDA
ROUPAS, CALÇADOS E ACESSÓRIOS;1067023 SANDALIA BABY BIRK VI COURO BRANCO SWEET MARGARIDA 20 27;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;1067029 SANDALIA BABY BIRK VI COURO BRANCO ESTAMPADO 20 27;CALCADOS BIBI LTDA FILIAL BA
ROUPAS, CALÇADOS E ACESSÓRIOS;1012111 SANDALIA MISS BIBI II SINTETICO VERNIZ BRANCO 20 27;CALCADOS BIBI LTDA
