SegmentName;ProductName;Brand
VETERINÁRIAS E PET SHOPS;RACAO FRANGO PRE-POSTURA 50KG (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;RACAO FRANGO POSTURA 50kG (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;RACAO FRANGO POSTURA 25KG (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;RACAO  MIX 50 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;RACAO MIX 25 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;S3 50KG - RACAO SUINO CRESCIMENTO (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;S3 25KG - RACAO SUINO CRESCIMENTO (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;TORTA DE COCO 40 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;CF2 40KG - RACAO FRANGO INICIAL (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;RACAO MANUTENCAO 25KG (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;PEDIGREE RACAS PEQUENAS;AgroCanaa
VETERINÁRIAS E PET SHOPS;BEB. AUT. SUINO CHUP. MORD. INOX P;PLANTARVET
VETERINÁRIAS E PET SHOPS;SAL MINERAL 10 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;SAL COMUM PRODUCAO (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;BARRAGE C\ 36 UNID  CX.;AgroCanaa
VETERINÁRIAS E PET SHOPS;MATA BICHEIRA FORTE CX\ COM 12;AgroCanaa
VETERINÁRIAS E PET SHOPS;MILHO QUEBRADO KG PRODUCAO;AgroCanaa
VETERINÁRIAS E PET SHOPS;NUTRI-OVOS 0,3 % FT 3 KG PRODUÇÃO POLINUTRI (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;GIRASSOL MENOR KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;FARO ADULTO CARNE E CEREAIS  15 KG;MBM
VETERINÁRIAS E PET SHOPS;F3 50KG - RACAO FRANGO CRESCIMENTO ENGORDA (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;F1 25KG  - RACAO FRANGO PRE-INICIAL  (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;F2 25KG - RACAO FRANGO INICIAL (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;F3 25KG - RACAO FRANGO CRESCIMENTO ENGORDA (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;RACAO PAPADOG 25 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;FARO ADULTO CARNE E CEREAIS 25 KG;MBM
VETERINÁRIAS E PET SHOPS;RACAO STREET CAT 25 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;F1 50KG - RACAO FRANGO PRE-INICIAL (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;F2 50KG - RACAO FRANGO INICIAL (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;PACOTES GRANULADO BANANA;AgroCanaa
VETERINÁRIAS E PET SHOPS;RACAO FOSTER FILHOTE 25 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;SL 50KG - RACAO SUINO LACTACAO (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;MILHO EM GRAO 50 KG REVENDA (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;MILHO EM GRÃO - 30 KG REVENDA (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;MILHO QUEBRADO 50 KG REVENDA (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;MILHO QUEBRADO 25 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;QUIRELA DE ARROZ 60 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;QUIRELA DE ARROZ 30 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;TORTA DE DENDE 40 KG REVENDA (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;FARELO DE SOJA 50 KG REVENDA (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;FARELO DE TRIGO 30 KG REVENDA (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;FARINHA DE CARNE 50 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;SAL COMUM REVENDA (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;TORTA DE COCO 30 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;MILHO BR 205 PLANTIO (HIBRIDO) 20KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;POLI-VITA FRANGO CRESCIMENTO ENGORDA KG PRODUCAO;AgroCanaa
VETERINÁRIAS E PET SHOPS;POLI-VITA FRANGO INICIAL KG PRODUCAO;AgroCanaa
VETERINÁRIAS E PET SHOPS;POLI-VITA FRANGO PRE-INICIAL KG PRODUCAO;AgroCanaa
VETERINÁRIAS E PET SHOPS;POLI-VITA FRANGO ABATE KG PRODUCAO;AgroCanaa
VETERINÁRIAS E PET SHOPS;NUTRI-OVOS 0,3% FT 3KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;NUTRIPIG FIT INICIAL 5% KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;NUTRIPIG FIT REPRODUCAO/LACTACAO 3,5% KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;SUPRA COELHO AGRO SC 25 KG;AgroCanaa
VETERINÁRIAS E PET SHOPS;F4 25KG - RACAO FRANGO ABATE (ATUAL);AgroCanaa
VETERINÁRIAS E PET SHOPS;SACO 65X95 (SACO 50KG) (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;SACO CONV BRANCO 50X80 (30 KG)  (ATUALIZADO);AgroCanaa
VETERINÁRIAS E PET SHOPS;ALPISTE CANADENSE;AgroCanaa
